molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL2112412,COC(=O)[C@@H]1C2CCC(C2)C[C@@H]1c1ccc2ccccc2c1,27.0,active
CHEMBL103831,COC(=O)c1ccccc1-c1ccccc1,100000.0,active
CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,11.0,active
CHEMBL323348,COC(=O)c1ccccc1C(=O)OC,100000.0,active
CHEMBL103919,COC(=O)[C@@H]1C2CCC(C2)CC1c1ccc(Cl)c(Cl)c1,42.0,intermediate
CHEMBL101986,COC(=O)c1ccccc1-c1ccc(Cl)cc1,675.0,active
CHEMBL2111613,COC(=O)[C@H]1C2CCC(C2)C[C@@H]1c1ccc2ccccc2c1,12.0,active
CHEMBL317714,COC(=O)c1ccccc1OC(=O)c1ccccc1,548.0,inactive
CHEMBL2112595,O=C(CCc1ccc(Br)cc1)N/C=C/NCCOC(c1ccc(F)cc1)c1ccc(F)cc1,1380.0,active
CHEMBL281594,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,43.0,active
CHEMBL281594,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,26.0,intermediate
CHEMBL327868,COC(=O)[C@H]1C2CCC(C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)O2,20300.0,active
CHEMBL314402,COC(=O)C1C2CCC(CC1c1ccccc1)O2,1000.0,active
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,2.34,active
CHEMBL89284,COC(=O)[C@H]1C2CCC(C[C@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,8900.0,active
CHEMBL14391,COC(=O)C1C(c2ccc(I)cc2)CC2CCC1N2C,1.26,active
CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,11.0,active
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,0.4,intermediate
CHEMBL329454,COC(=O)C1C2CCC(CC1c1ccc(F)cc1)O2,546.0,active
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,3.08,inactive
CHEMBL88792,COC(=O)C1C2CCC(CC1c1ccc(Br)cc1)O2,9.0,active
CHEMBL327314,COC(=O)[C@H]1C2CCC(C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,1750.0,active
CHEMBL14391,COC(=O)C1C(c2ccc(I)cc2)CC2CCC1N2C,2.85,intermediate
CHEMBL310650,COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,13500.0,inactive
CHEMBL313664,COC(=O)C1C2CCC(CC1c1ccc(I)cc1)O2,7.0,active
CHEMBL90903,COC(=O)C1C2CCC(CC1c1ccc(Cl)cc1)O2,28.5,active
